GF%,GF/60,GA/60,xGF/60,Playoffs
47.02,2.09,2.35,2.04,1
52.61,2,1.8,1.8,1
53.55,2.55,2.21,2.25,1
52.08,2.11,1.95,1.99,1
55.69,2.75,2.19,2.3,1
52.63,2.43,2.19,2.25,1
47.6,2.12,2.33,2.33,0
49.6,2.26,2.29,2.03,1
48.97,2.37,2.47,2.17,1
47.79,2.02,2.21,2.02,1
50,2.14,2.14,2.25,1
49.12,2.23,2.31,1.94,0
55.75,2.66,2.11,2.3,1
49.06,2.04,2.12,2.16,1
54.68,2.23,1.85,2.1,1
48.47,2.21,2.35,2.25,0
54.42,2.3,1.92,2.38,1
45.49,2,2.39,2.43,0
53.74,2.85,2.46,2.67,0
50,1.89,1.89,2.05,1
54.65,2.35,1.95,2.26,1
52.57,2.18,1.97,2.03,1
44.15,1.77,2.24,2.01,0
48.94,2.11,2.2,1.98,1
46.38,1.71,1.97,2.04,0
47.47,1.86,2.06,2.13,0
47.92,1.75,1.9,1.86,0
45.42,1.69,2.03,1.83,0
43.35,1.74,2.27,2.08,0
48.77,2.43,2.55,2.5,1
44.58,2.24,2.78,2.35,0
50.18,2.41,2.39,2.35,1
48.71,2.13,2.25,2.15,0
50.87,2.24,2.17,2.25,1
53.9,2.34,2,2.22,1
50.66,2.31,2.25,2.18,1
46.88,1.93,2.19,1.99,0
46.89,2.27,2.57,2.06,0
56.9,2.52,1.91,2.26,1
51.08,2.17,2.08,2.17,1
53,2.42,2.15,2.27,1
56.61,2.6,1.99,2.4,1
53.47,2.52,2.19,2.43,1
47.46,1.99,2.2,2.31,0
40.77,1.92,2.78,2.13,0
46.18,2.27,2.64,2.45,0
44.09,2.19,2.77,2.29,0
42.76,1.95,2.6,2.36,0
49.47,2.4,2.45,2.5,1
44.98,2.14,2.62,2.44,0
51.7,2.53,2.36,2.95,1
51.51,2.3,2.17,2.34,1
50.86,2.63,2.54,2.48,0
48.35,2.64,2.82,2.33,0
55.44,2.39,1.92,2.37,1
54.08,2.14,1.82,2.44,1
47.15,2.05,2.3,2.63,1
51.25,2.3,2.19,2.41,0
52.28,2.33,2.13,2.68,1
53.24,2.29,2.01,2.47,1
57.32,2.32,1.73,2.61,1
51.84,2.17,2.01,2.51,1
56.65,2.68,2.05,2.5,1
