CF%,CF/60,CA/60,GF%,GF/60,GA/60,xGF%,xGF/60,xGA/60,Sh%,Sv%,PDO,SC
48.69,51.23,54,51.34,2.35,2.23,50.89,2.02,1.95,8.29,91.86,100.16,0
52.78,55.86,49.97,52.54,2.25,2.04,51.83,2.21,2.06,7.42,92.56,99.98,0
52.69,58.01,52.09,55.02,2.44,2,55.77,2.48,1.97,7.54,93.01,100.55,1
50.14,57.82,57.49,55.19,2.82,2.29,52.44,2.72,2.46,8.6,92.61,101.21,1
52.23,60.41,55.27,48.07,2.48,2.68,52.69,2.66,2.39,7.29,91.03,98.33,0
49.66,58.2,59,54.68,2.71,2.25,51.51,2.56,2.41,8.33,93.05,101.37,0
53.79,50.99,43.8,53.66,2.25,1.94,56.44,2.26,1.74,7.92,91.54,99.47,0
54.23,55.64,46.96,51.78,2.1,1.96,56.5,2.53,1.95,6.74,92.42,99.16,0
51.08,56.78,54.38,55.41,2.66,2.14,52.17,2.52,2.31,8.85,92.92,101.77,0
53.51,59.87,52.01,54.06,2.35,2,56,2.62,2.06,7.33,92.83,100.16,0
51.73,58.96,55,51.84,2.13,1.98,54.49,2.42,2.03,6.67,92.92,99.6,0
51.29,58.73,55.77,50.33,2,1.98,54.34,2.41,2.02,6.68,92.9,99.58,0
53.72,62.31,53.67,53.67,2.45,2.12,57.44,2.7,2,7.52,92.21,99.72,0
51.49,59.48,56.04,47.1,2.09,2.34,51.32,2.39,2.26,7.05,91.86,98.91,0
51.68,55.55,51.94,52.69,2.23,2,55.08,2.38,1.94,7.68,92.3,99.99,0
51.3,58.11,55.15,53,2.27,2.01,52.51,2.47,2.23,7.85,92.45,100.3,0
50.8,60.78,58.87,48.75,2.34,2.46,51.92,2.56,2.37,7.5,91.64,99.13,0
54.94,62.15,50.97,51.33,2.91,2.76,54.36,2.74,2.3,9.09,89.74,98.82,0
47.4,45.54,50.53,48.73,2.26,2.38,48,1.96,2.13,8.55,91.18,99.73,0
47.95,48.16,52.29,48.51,2.16,2.29,49.43,2.01,2.06,8.02,91.73,99.76,0
50.84,53.79,52.01,49.82,2.33,2.34,49.61,2.18,2.21,7.94,91.88,99.83,0
52.26,56.18,51.33,50.47,2.5,2.45,51.3,2.23,2.11,8.45,90.95,99.4,0
53.04,55.79,49.39,57.02,2.09,1.58,54.67,2.29,1.9,6.97,93.9,100.87,0
52.21,51.53,47.16,51.9,2.17,2.01,50.63,1.93,1.88,7.87,91.5,99.37,0
53.15,55.51,48.93,55.44,2.47,1.99,54.17,2.19,1.85,8.55,92.25,100.8,0
51.74,54.89,51.19,54.58,2.45,2.04,53.1,2.21,1.95,8.19,92.31,100.49,0
51.93,55.52,51.39,52.85,2.13,1.9,52.14,2.23,2.05,7.04,93.15,100.19,0
50.18,51.94,51.57,52.92,2.34,2.08,50.58,2.02,1.97,8.4,92.38,100.78,0
51.73,58.59,54.68,52.26,2.26,2.06,51.46,2.18,2.06,7.17,92.87,100.04,0
51.49,55.9,52.67,53.55,2.51,2.18,53.74,2.42,2.08,8.13,92.21,100.34,1
49.47,49.88,50.95,44.3,2.18,2.74,48.99,1.95,2.03,7.92,89.91,97.83,0
47.69,49.54,54.33,47.06,2.14,2.41,48.3,2.01,2.15,7.68,92.11,99.8,0
47.62,49.65,54.6,45.83,2.16,2.55,46.83,2.01,2.28,7.8,91.52,99.32,0
51.88,57.03,52.9,50.99,2.48,2.38,55.52,2.39,1.92,7.92,91.24,99.16,0
47.31,50.16,55.86,48.15,2.6,2.8,47.4,2.02,2.24,9.73,90.34,100.07,0
47.19,50.53,56.55,51,2.68,2.58,48.68,2.03,2.14,9.71,91.43,101.13,0
51,54.96,52.81,54.12,2.33,1.98,50.82,2.09,2.02,7.81,92.87,100.67,0
53.03,55.97,49.57,56.59,2.75,2.11,54.62,2.24,1.86,9.03,91.92,100.95,0
52.19,55.77,51.1,53.85,2.31,1.98,51.4,1.99,1.88,7.87,92.9,100.77,0
51.27,55.24,52.51,49.12,2.15,2.23,50.48,2.12,2.08,7.38,92.4,99.78,0
51.62,59.64,55.89,57.18,3.01,2.25,52.76,2.39,2.14,9.35,92.93,102.28,0
51.56,58.62,55.06,56.63,3.14,2.41,52.67,2.4,2.16,9.76,92.17,101.93,0
51.62,56.05,52.53,50.18,2.51,2.5,50.97,2.38,2.29,8.38,90.96,99.33,0
50.25,57.92,57.35,46.83,2.51,2.85,49.16,2.32,2.4,8.27,90.21,98.48,0
52.82,62.22,55.58,48.06,2.36,2.55,53.34,2.51,2.2,7.37,91.12,98.49,0
47.77,56.15,61.4,48.53,2.35,2.49,46.97,2.09,2.36,8.4,92.03,100.43,0
48.92,55.38,57.82,46.27,2.34,2.72,47.59,2.21,2.44,8.47,90.97,99.43,0
44.1,50.91,64.53,52.26,2.74,2.51,43.98,1.97,2.51,10.66,92.39,103.04,0
42.9,49.96,66.5,47.59,2.27,2.5,42.97,2,2.65,8.47,92.85,101.32,0
46.44,52.34,60.36,44.3,2.12,2.66,44.11,2.08,2.64,7.51,91.84,99.35,0
51.31,58.5,55.52,42.86,1.86,2.48,49.38,2.21,2.27,6.36,91.94,98.3,0
50.38,59.52,58.61,50.91,2.54,2.45,50.88,2.68,2.59,8.3,92.25,100.55,0
49.86,58.89,59.22,54.07,2.78,2.36,51.1,2.68,2.56,9.01,92.81,101.82,0
51.78,64.6,60.15,54.45,2.98,2.5,51.79,2.7,2.51,9.33,92.41,101.74,0
48.31,47.51,50.84,49.17,2.03,2.09,48.46,1.96,2.09,7.85,92.41,100.25,0
49.43,50.07,51.22,56.44,2.53,1.95,49.99,2.14,2.14,9.23,93.08,102.3,0
51.7,54.81,51.21,55.48,2.73,2.19,51.49,2.28,2.15,9.14,92.4,101.53,0
52.28,57.91,52.86,56.84,2.55,1.94,50.56,2.33,2.28,8.23,93.35,101.58,0
52.68,57.13,51.32,54.17,2.44,2.06,48.68,2.17,2.28,8.15,93.11,101.27,0
51.46,52.96,49.96,50.92,2.21,2.13,50.56,2.17,2.12,8.03,92.54,100.57,0
51.28,57.09,54.24,49.47,2.15,2.19,50.2,2.19,2.17,7.25,92.27,99.52,0
49.49,53.57,54.68,48.21,2.28,2.45,47.66,2.15,2.37,7.74,91.56,99.3,0
47.21,49.75,55.64,44.77,1.89,2.33,44.65,1.96,2.43,6.88,92.52,99.4,0
47.96,50.42,54.72,44.76,1.9,2.34,45.71,2.01,2.38,7.01,92.42,99.43,0
47.68,52.81,57.96,45.82,2.1,2.48,46.57,2.1,2.41,7.21,92.15,99.36,0
48.03,54.05,58.49,46.23,2.27,2.64,45.91,2.13,2.51,7.92,91.66,99.59,0
50.96,58.45,56.24,52.78,2.62,2.34,50.68,2.33,2.26,8.38,92.19,100.57,0
54.34,62.47,52.5,51.81,2.58,2.4,56.07,2.86,2.24,7.74,91.62,99.37,0
50.32,56.09,55.37,49.02,2.31,2.4,50.86,2.4,2.32,7.68,91.74,99.43,0
49.48,55.93,57.1,47.15,2.32,2.6,48.62,2.26,2.38,8.3,91.2,99.5,0
50.07,56.39,56.23,48.56,2.35,2.49,50.92,2.45,2.36,7.81,91.58,99.38,0
52.52,55.67,50.33,53.76,2.27,1.96,53.32,2.42,2.12,7.87,92.73,100.6,0
51.41,55.07,52.04,50.52,2.25,2.2,50.25,2.3,2.28,7.66,92.12,99.78,0
49.24,52.33,53.93,48.91,2.43,2.54,50.65,2.29,2.23,8.51,91.56,100.07,0
51.5,58.6,55.18,54.72,2.68,2.21,52.79,2.41,2.15,8.53,92.54,101.07,0
48.94,55.99,58.41,50.61,2.53,2.47,47.76,2.23,2.44,8.37,92.33,100.7,0
55.62,58.59,46.75,51.47,2.34,2.2,55.05,2.43,1.99,7.58,91.45,99.03,0
54.95,62.17,50.98,52.61,2.48,2.23,54.45,2.52,2.11,7.56,91.92,99.49,0
52.87,61.29,54.64,60.93,3.3,2.12,51.49,2.43,2.29,10.39,92.9,103.29,0
51.16,57.14,54.55,52,2.24,2.07,51.76,2.23,2.08,7.59,92.61,100.2,0
48.91,53,55.37,50.68,2.26,2.2,49.96,2.09,2.09,8.16,92.41,100.57,0
48.72,53.53,56.34,51.7,2.38,2.23,48.91,2.15,2.25,8.6,92.8,101.4,0
47.69,51.93,56.96,46.85,2.07,2.34,47.93,2.06,2.24,7.64,92.51,100.15,0
51.38,55.69,52.7,52.33,2.25,2.05,52.42,2.17,1.97,8.04,92.45,100.49,0
50.99,56.19,54.01,55.86,2.47,1.95,51.76,2.22,2.07,8.24,92.9,101.13,0
51.79,56.09,52.22,61.38,2.73,1.72,51.43,2.29,2.16,9.18,93.73,102.91,0
47.99,54.76,59.36,52.48,2.56,2.32,46.88,2.26,2.56,9.14,92.47,101.61,1
49.16,56.71,58.65,54.67,2.98,2.47,47.14,2.34,2.63,10.01,92.02,102.03,0
