CF%,GF%,Sh%,PDO,SC
49.45,47.02,7.71,99.03,0
48.6,52.61,7.82,100.97,0
51.06,53.55,8.56,100.4,0
47.68,52.08,7.79,100.79,0
49.35,55.69,9.15,101.72,0
47.18,52.63,8.19,100.91,0
50.92,47.6,6.78,98.47,0
46.01,49.6,8.55,101.11,0
47.88,48.97,8.27,100.49,0
47.18,47.79,7.58,100.39,0
51.56,50,6.81,99.58,0
47.99,49.12,8.21,100.41,0
52.85,55.75,8.89,100.95,0
46.74,49.06,7.42,100.47,0
48.52,54.68,7.98,101.66,0
51.39,48.47,7.33,99.17,0
52.54,54.42,7.55,100.79,0
50.49,45.49,6.38,98.57,0
54.42,53.74,8.2,100.06,0
52.47,50,7.04,99.7,0
52.52,54.65,7.55,100.69,0
50.99,52.57,7.63,100.26,0
52.1,44.15,6.31,97.63,0
50.31,48.94,8.07,99.58,0
55.88,46.38,6.42,97.63,0
54.4,47.47,7.11,98.45,0
47.19,47.92,7.2,100.61,0
46.14,45.42,7.24,99.73,0
47.83,43.35,6.36,98.83,0
48.63,48.77,7.91,99.64,0
46.87,44.58,7.55,98.8,0
50.55,50.18,8.29,100.26,0
49.11,48.71,7.56,99.97,0
51.49,50.87,7.59,99.99,0
49.14,53.9,8.17,101.56,0
46.61,50.66,8.51,101.04,0
46.72,46.88,7.66,99.61,0
48.46,46.89,7.91,98.96,0
52.72,56.9,8.08,101.18,0
52.5,51.08,7.31,99.52,0
51.42,53,7.84,100.49,0
51.52,56.61,8.19,101.74,0
52.19,53.47,7.7,100.39,0
50.44,47.46,6.73,99.11,0
45.6,40.77,6.77,98.24,0
47.7,46.18,7.68,99.14,0
46.14,44.09,7.79,99,0
47.59,42.76,6.83,97.87,0
49.97,49.47,8.02,98.96,0
49.42,44.98,7.24,98.35,0
52.74,51.7,7.79,99.26,0
49.52,51.51,8.11,100.72,0
47.75,50.86,8.87,100.64,0
47.47,48.35,8.84,100.55,0
47.82,55.44,8.5,102.05,0
53.89,54.08,7.15,99.83,0
52.67,47.15,6.48,98.52,0
49.73,51.25,7.92,100.49,0
49.14,52.28,8.02,100.73,0
47.7,53.24,8.3,100.99,0
51.98,57.32,7.41,100.93,0
52.44,51.84,6.7,99.68,0
49.49,56.65,8.83,101.92,0
47.39,55.82,8.99,102.43,0
47.9,52.19,8.85,101.17,0
45.9,45.18,7.55,99.72,0
46.05,45.71,7.71,99.69,0
51.07,54.98,9.83,101.61,0
49.19,46.99,7.37,99.14,0
51.98,45.89,7.85,97.62,0
49.91,42.09,6.67,97.59,0
52.3,50.64,7.86,99.98,0
53.62,50,6.01,99.44,0
52.37,48.75,7.45,99.67,0
50.24,51.36,8.01,100.99,0
47.65,50.68,8.25,101.27,0
48.54,48.74,7.03,99.6,0
47.12,43.23,7.69,98.53,0
44.9,43.56,8.75,99.36,0
46.99,47.64,7.84,100.25,0
47.56,50,8.55,100.48,0
50.91,49.65,7.46,99.45,0
49.2,54.95,8.72,101.31,0
50.98,53.7,8.72,100.54,0
47.59,45.76,7.91,98.85,0
49.97,48.98,8.02,100.26,0
49.31,49.44,7.31,100.26,0
50.63,50.38,6.96,100.31,0
51.09,45.36,6.65,98.32,0
49.79,52.33,7.88,100.36,0
48.27,46.84,8.44,99.54,0
45.62,54.66,8.96,102.4,0
48.13,55.03,9.76,102.15,1
52.08,51.7,8.6,99.43,0
52.79,53.31,7.54,100.22,0
54.24,54.05,8.92,99.76,0
49.05,59.12,9.65,102.96,0
48.69,51.34,8.29,100.16,0
52.78,52.54,7.42,99.98,0
52.69,55.02,7.54,100.55,1
50.14,55.19,8.6,101.21,1
52.23,48.07,7.29,98.33,0
49.66,54.68,8.33,101.37,0
53.79,53.66,7.92,99.47,0
54.23,51.78,6.74,99.16,0
51.08,55.41,8.85,101.77,0
53.51,54.06,7.33,100.16,0
51.73,51.84,6.67,99.6,0
51.29,50.33,6.68,99.58,0
53.72,53.67,7.52,99.72,0
51.49,47.1,7.05,98.91,0
51.68,52.69,7.68,99.99,0
51.3,53,7.85,100.3,0
50.8,48.75,7.5,99.13,0
54.94,51.33,9.09,98.82,0
47.4,48.73,8.55,99.73,0
47.95,48.51,8.02,99.76,0
50.84,49.82,7.94,99.83,0
52.26,50.47,8.45,99.4,0
53.04,57.02,6.97,100.87,0
52.21,51.9,7.87,99.37,0
53.15,55.44,8.55,100.8,0
51.74,54.58,8.19,100.49,0
51.93,52.85,7.04,100.19,0
50.18,52.92,8.4,100.78,0
51.73,52.26,7.17,100.04,0
51.49,53.55,8.13,100.34,1
49.47,44.3,7.92,97.83,0
47.69,47.06,7.68,99.8,0
47.62,45.83,7.8,99.32,0
51.88,50.99,7.92,99.16,0
47.31,48.15,9.73,100.07,0
47.19,51,9.71,101.13,0
51,54.12,7.81,100.67,0
53.03,56.59,9.03,100.95,0
52.19,53.85,7.87,100.77,0
51.27,49.12,7.38,99.78,0
51.62,57.18,9.35,102.28,0
51.56,56.63,9.76,101.93,0
51.62,50.18,8.38,99.33,0
50.25,46.83,8.27,98.48,0
52.82,48.06,7.37,98.49,0
47.77,48.53,8.4,100.43,0
48.92,46.27,8.47,99.43,0
44.1,52.26,10.66,103.04,0
42.9,47.59,8.47,101.32,0
46.44,44.3,7.51,99.35,0
51.31,42.86,6.36,98.3,0
50.38,50.91,8.3,100.55,0
49.86,54.07,9.01,101.82,0
51.78,54.45,9.33,101.74,0
48.31,49.17,7.85,100.25,0
49.43,56.44,9.23,102.3,0
51.7,55.48,9.14,101.53,0
52.28,56.84,8.23,101.58,0
52.68,54.17,8.15,101.27,0
51.46,50.92,8.03,100.57,0
51.28,49.47,7.25,99.52,0
49.49,48.21,7.74,99.3,0
47.21,44.77,6.88,99.4,0
47.96,44.76,7.01,99.43,0
47.68,45.82,7.21,99.36,0
48.03,46.23,7.92,99.59,0
50.96,52.78,8.38,100.57,0
54.34,51.81,7.74,99.37,0
50.32,49.02,7.68,99.43,0
49.48,47.15,8.3,99.5,0
50.07,48.56,7.81,99.38,0
52.52,53.76,7.87,100.6,0
51.41,50.52,7.66,99.78,0
49.24,48.91,8.51,100.07,0
51.5,54.72,8.53,101.07,0
48.94,50.61,8.37,100.7,0
55.62,51.47,7.58,99.03,0
54.95,52.61,7.56,99.49,0
52.87,60.93,10.39,103.29,0
51.16,52,7.59,100.2,0
48.91,50.68,8.16,100.57,0
48.72,51.7,8.6,101.4,0
47.69,46.85,7.64,100.15,0
51.38,52.33,8.04,100.49,0
50.99,55.86,8.24,101.13,0
51.79,61.38,9.18,102.91,0
47.99,52.48,9.14,101.61,1
49.16,54.67,10.01,102.03,0
